website,10:00 - 18:00,[予約受付終了] 自分の所有するものを記録するホームページを作る | 担当:ささじまかずま,check
map,10:00 - 20:00,BnA Alter Museumの周りで聞いた言葉を集める | 1F受付にご提出ください
other,10:00,BnA Alter Museum 到着／チェックイン予定,check
other,10:00 - 12:00,ポップアップの整理整頓 | 担当:中尾香織,check
other,12:00 - 15:00,ポップアップをアップデートする | 担当:ささじまかずま,
map,12:00 - 13:00,休憩 | BnA Alter Museumの周りで聞いた言葉を集める | 担当:中尾香織,
org,13:00 - 14:00,箱にスクリーン印刷で装飾する | 担当:中尾香織,
other,14:00 - 16:00,P E H U is | Summer Collection を完成させる | 担当:中尾香織,
other,15:00 - 18:00,接客・試聴機の使い方をまとめる | 担当:ささじまかずま,
map,16:00 - 17:00,休憩 | BnA Alter Museumの周りで聞いた言葉を集める | 担当:中尾香織,
org,17:00 - 20:00,商品説明を書く | 担当:中尾香織
other,18:00 - 20:00,休憩（船岡温泉までサイクリング）  | 担当:ささじまかずま
other,20:00 -,作業終了 | 担当:ささじまかずま・中尾香織
