website,10:00 - 18:00,[予約受付中] 自分の所有するものを記録するホームページを作る | 担当:ささじまかずま
map,10:00 - 19:00,BnA Alter Museumの周りで聞いた言葉を集める | 1F受付にご提出ください
other,10:00 - 14:00,商品説明を書く・ポップをアップする | 担当:ささじまかずま
org,10:00 - 13:00,所有するものを収納する箱を装飾する・夏わかば制作（シルクスクリーン印刷） | 担当:中尾香織
map,13:00 - 14:00,休憩 | BnA Alter Museumの周りで聞いた言葉を集める | 担当:中尾香織
org,14:00 - 17:00,所有するものを収納する箱を装飾する | 担当:ささじまかずま
website,14:00 - 16:00,https://creative-community.space/kn/を更新する| 担当:中尾香織
map,16:00 - 17:00,休憩 | BnA Alter Museumの周りで聞いた言葉を集める | 担当:中尾香織
org,17:00 - 19:00,所有するものを収納する箱を装飾する | 担当:中尾香織
other,18:00 - 20:00,休憩（栄盛湯までサイクリング） | 担当:ささじまかずま
