made,西天満カフェ,Document,"[KAHM-bx1] メニュー/メニューPOP/豊子カーテン/会員カード/イベント案内チラシ/レシピ/伝言ノートx2/営業中のぼり/開店祝いプレート, 2019",
other,カフェファイル,Document,"[KAHM] レシート支払い控え,メモ, 2019",
other,カフェ資料,Document,"[KAHM] 売上伝票,カフェレシート, 2019",
bought,ブンブン,Hobby,"[UR-NTbx] 白色　電池式(単3電池3個) 光る回る音が出る",popup
bought,ブンブン2,Hobby,"[UR-NTbx] 黒色　電池式(単3電池3個) 光る回る音が出る",
bought,ピストル NO:838,Hobby,"[UR-NTbx] 電池式 光る音が出る　黒色",
bought,GL-1004 オンザロックセット,Galaxy,"[KAHM] アイスペール&トング/グラスx1/コースターx5",
bought,GL-1005 ティーセット5客,Galaxy,"[KAHM] グラス/ホルダー/コースター",
sale,GL-1005 ティーセット5客,Galaxy,"[KAHM] グラス/ホルダー/コースター, 1set 300yen",popup
sale,GL-1022 1口ビールセットDX5客,Galaxy,"[KAHM] グラス/ホルダー/コースター, 1set 300yen",popup
sale,GL-1075 アイスコーヒーメーカー/グラスセット5客,Galaxy,"[KAHM] アイスコーヒーメーカー/グラス/ホルダー/コースター, 1set 300yen",
other,御見積書,Document,"[KAHM-bx1] 神崎ガスセンター, 2019",
other,PayPay,Payment/Document/Stickers,"[KAHM-bx1] 2019",
made,クラフト封筒,Stationery,"[UR-4.5-WW] ペフ専用フライヤー送付クラフト封筒, 2019",
collaborations,雪の跡,Document,"[KAHM-bx2] アート／ブックのとても大きな部屋：読む・作る・考える, 2019",
gift,scent,Stickers,"[KAHM-bx2-f.g] by Josefina Valdés, 2019",
collaborations,銃を作ろう,Wood,"[KAHM-bx1] by Emilio Algo, Josefina Valdés, お客さん, 2019",
collaborations,理想の一日,Booklet,"[KAHM-bx2-f.g] by mkt",
collaborations,靴下端切れクッションx2,Cushion,"[UR-D/4.5] 直径44cm フック付き",
collaborations,靴下端切れ草履x3,Room Shoes,"[UR-NTbx] by あくちゃん, pal, かおちょ, 2019",popup
collaborations,書道と陶芸,Artworks,"[KAHM-bx1] by JP, VD, お客さん二名, あくちゃん, pal, あっち, まろ, かおちょ, 2019",
gift,食品サンプル,Figure,"[KAHM-bx1] 目玉焼き,クロックムッシュ by Sammy Stein, 2019",
gift,髪の毛,Hair,"[KAHM-bx2-f.g] by sammy, vanessa, sevrine, kaori, 2019",
free,工事ライト,Lighting,"[UR-NTbx] ソーラー付き",popup
collaborations,月間カフェ会員入会書,Sign,"[KAHM-bx1] by JP, VZ, SB, SS, 2019",
gift,日仏の友情,Booklet,"[KAHM-bx2] フレンドリーでプロフェッショナルな会議-100%の友達 by Jean-Phillipe-Bretin, 2019",popup
collaborations,"[UR] K PARTY","Flyer/Stickers/Materials","[UR-NTbx] チラシ1種, ステッカー5種,製造物",
made,Friendly Form Shop Osaka Branch,Artworks,"[KAHM-bx1] by Nick, David, pal, まろ, かおちょ, 2019",
gift,NS1,Photo Poster,"[UR-B2C] by Nicholas Strobelt, 2019",
gift,1セント硬貨,Coins,"[UR-NTbx] by Nicholas Strobelt, 2019",popup
sale,The Stone of The Isamu Noguchi Foundation and Garden Museum,Stone,"[UR-NTbx] by Joseph Torres, 7000yen, 2019",
sale,The Fragment,Ceramic,"[UR-NTbx] by Joseph Torres, 2000yen, 2019",
sale,The House,Ceramic,"[UR-NTbx] by Joseph Torres, 5000yen, 2019",popup
sale,Untitled (Two Tone) ,Ceramic,"[UR-NTbx] by Joseph Torres, 2500yen, 2019",popup
sale,The Vase,Ceramic,"[UR-NTbx] by Joseph Torres, 8500yen, 2019",popup
sale,Tea Bowls,Ceramic,"[UR-NTbx] by Joseph Torres, 3500yen, 2019",
