free,私の石,Cement Stones,"[UR-NTbx]by 松延総司, 2011 (https://matsunobe.net/works/mystones/index.html)　2019, 2020 北加賀屋にて",popup,
bought,OTO Building,Website/Flag,"[KAHM-bx2] のぼり, 2019 | ウェブサイト, 2019 - 2022",,
made,Peace for Future,Pocket Tissue/Poster/Website,"[KAHM-bx2] ポケットティッシュ/A3プリント, 2019 | ウェブサイト, 2022",,
made,音ビルマグネット,Magnet Sheet,"[KAHM-bx2] 2019",,
made,ベータルームへようこそ,Booklet,"[KAHM-bx2] 音ビルB室での過ごし方, 2019",,
made,夢の見方,Poster,"[UR-B2C] by Ayami Konishi, 2019",,
made,大切にすることを大切にするための本試作品,Booklet,"[UR-7.5-TK] 2019,",popup,
sale,大切にすることを大切にするための本,Book,"[UR-7.5-TK] by ペフ, B6/134 pages/Bilingual (Japanese / English), 2019,",,
made,i choose,Advertisement,"[UR-B2C] ミラーシート・カッティングシート x2, 2019",,
sale,31 Questions for daily life,Daily Calender,"[UR-trk] by ペフ, 2020",,
bought,卓球セット,おもちゃ,"[UR-D] ラケットx3,　ピンポン球x4,　伸縮式ネット(〜175cm,厚さ〜5cm)",,
bought,New Life Collection,Website/Flag,"ウェブサイト, 2019 | のぼり, 2020",,
made,New Life Collection,Poster,"[KAHM-bx2] 第一回間違い探しポスター, 2019",,
other,New Life Collection,Sticker,"[UR-4.5-WW] http://spc-k.jp/",,
other,Think note,Sticky & Pen,"[UR-7.5-TK] by ペフ, 2020",,
sale,This USB Card is The Digital Magazine,USB Card,"[UR-7.5-TK] by ペフ, 2020",,
sale,今でも大切,Rolled Label Paper,"[UR-7.5-TK] by ペフ, 62mm × 2940mm, 2020",,
made,わかば試作品,Booklet,"[KAHM-bx2] 2019",popup,
sale,わかば,Book,"[UR-7.5-TK] by ペフ, B6/88 pages/Bilingual (Japanese / English), 2020",,
made,A Piece of プレイタイムズ,Document,"[KAHM-bx2] 2019",,
made,プレイタイムズ,Website/Rolled Label Paper,"[KAHM-bx2] 2019",,
made,"カッティングシール",Sticker,"[UR-4.5-WW] Map x2, infomation x1, ichoose x3, Now Playing,　月　日x5, 2019",,
other,『IN/SECTS』Vol. 12,Book,"[KAHM-bx2] 特集 大阪観光, ● 大阪・北加賀屋 カルチャーアート最旬NEWS!, ● 今、持って帰りたい小さな“大阪” ローカルグッズなおみやげ 2019",,
bought,大 chotto crazy 2020,Stamp,"[KAHM-bx2] はんこ 3種(大/chotto crazy/2020), 2020",,
collaborations,土5L,園芸,"[UR-B] 観葉植物の土",,
collaborations,サボテン・多肉植物,植物,[UR-B],,
bought,ライト,ライト,"[UR-D] 2パターン切り替え 電池式",,
bought,ヘッドライト,ライト,"[UR-D] 3パターン切り替え 電池式",,
collaborations,大 chotto crazy 2020,Artwork/Website,"[KAHM-bx2] 光るねんど(こす),書道(芝浴),やすり(石を磨きたい),ハンカチ(藍染),透明紙イラスト(重ね合わせ),カセットテープ(暗闇でお喋り録音記録),その他メモ",,
collaborations,Only Holy Stories,Advertisement/Document,"[KAHM-bx2] メモ, 2020",,
made,Christmas 5dition,Advent Calendar,"[KAHM-bx2] Only Holy Stories | BnA Alter Meuseum, 2020",,
collaborations,サイン（非公式）,Artwork/Website,"[KAHM-bx2] ヤバめの金属バット工場, 2020",,
made,わかば 春エディション,Screen Printing,"[KAHM] 2021",,
made,"タイベック製ランチバッグ",Bag for iPad,[KAHM] ニューライフコレクション, 2021,,
made,防水セカンドバッグ,Bag for Payment,[UR-4.5-WW] ニューライフコレクション,,
made,マルシェバッグ(大),Shopping Bag,[UR-4.5-WW] ニューライフコレクション,,
made,マルシェバッグ(小),Shopping Bag,[UR-4.5-WW] ニューライフコレクション,,
bought,creative-community.space,Website,"[PehuMini] 2021",,
bought,Sign,Flag,"[UR-7.5] 自分の気持ちを知る・表す, 2021",,
made,i choose 作成用ガイド,Guide,"[UR-4.5-TK] Selpicを使用して i choose マグネットプレートを作成するためのガイド,ダンボール製",,
made,新しい生活を集める,Rolled Label Paper,"[KAHM-bx2] 2021",,
made,"Your Drawing is Seems So Beautiful",Photo Card,"[KAHM-bx2] WWW to Print ×8, 2021",,
gift,the whole city is full of wishes,Booklet,"[UR-NTbx] by wish books, nyc, Elliot Cost | october, 2019",,
made,音ビルメモ,Document,"[KAHM-bx2-f.2] ホワイトボードコピー機のメモ,音ビルでの過ごし方,わかば制作,プレイピースゲーム試作",,
other,音ビル取り決め,Document,"[KAHM-bx2-f.1] 緊急事態宣言及びまん延防止等重点措置下における取り決めについて by club Duphnia/icecream music/TRA-TRAVEL/ペフ, 2021",,
made,音ビル活動記録,Booklet,"[KAHM-bx2] 音ビル活動にまつわる書類・メモをまとめた冊子(2022)",popup,
made,千島財団助成記録,Booklet,"[KAHM-bx2] 千島財団からの助成にまつわる書類・メモをまとめた冊子(2022)",popup,
free,"名村造船所資料 3種",Booklet,"[KAHM-bx1] 名村テクニカルレビュー1998No.1/貨物保険案内/自動車保険申込書",,
free,加賀屋天満宮の手ぬぐい,日用品,"[KAHM-bx2] 加賀屋天満宮",,
made,ノートブックx3,Book Cover,"[KAHM-bx2] カバー：和紙/黒い紙/Peace for Future | ノート部：ミスプリント, 2022",popup,
made,ノートブックx3,Book Cover,"[KAHM-bx2] カバー:Peace Piece/Peace for Future/大切 | ノート部：白い紙, 2022",,
